full_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,ict_index,clean_sheets,now_cost,id,player_name,time,xG,xA,shots,key_passes,yellow_cards,npxG,xGChain,xGBuildup
Jamie Vardy,23,7,210,3032,38,418.4,1026,1455,288.8,11,97,755,Jamie Vardy,3034,18.90353732,6.36829756,89,32,3,15.09769312,21.02660731,1.724340666
Jan Bednarek,1,1,84,3057,57,45.5,729.8,95,87.5,7,44,6042,Jan Bednarek,3059,1.060794048,1.09412053,7,3,4,1.060794048,4.889748644,4.872771088
Jan Vertonghen,1,1,62,1644,24,56.1,398.4,63,51.9,4,52,640,Jan Vertonghen,1651,0.637748884,1.017921805,4,3,2,0.637748884,4.369382696,3.715995932
Jannik Vestergaard,1,0,51,1496,26,81.3,363.8,183,62.8,4,45,111,Jannik Vestergaard,1500,0.67693672,0.7554683,12,6,3,0.67693672,3.913532881,3.750416284
Japhet Tanganga,0,0,17,525,7,17.2,134.4,20,17.1,2,39,8222,Japhet Tanganga,528,0.053468216,0.029117819,3,1,1,0.053468216,0.74895981,0.708457027
Jarrod Bowen,1,4,44,916,13,235,221.4,342,79.8,1,64,1776,Jarrod Bowen,935,2.31647383,2.612398013,24,15,0,2.31647383,5.648861565,2.029872507
Javier Manquillo,0,1,65,1597,21,100.8,232,40,37.3,8,43,1719,Javier Manquillo,1598,0.035947606,0.262780737,1,5,5,0.035947606,3.059056005,2.839415492
Jay Rodriguez,8,2,100,2002,34,135,431.4,827,137.8,7,57,844,Jay Rodriguez,1987,8.956882774,0.768310897,67,6,1,8.195713877,7.035942082,1.257896686
Jeff Hendrick,2,2,67,1930,30,213.7,269.8,282,76.5,10,54,1746,Jeff Hendrick,1944,2.102083635,1.378748854,22,14,8,2.102083635,4.952221878,2.434791435
Jefferson Lerma,1,2,65,2702,49,189.4,439,169,79.4,4,48,2182,Jefferson Lerma,2724,0.815331141,1.531303081,30,11,11,0.815331141,8.758199345,8.174161017
Jeffrey Schlupp,3,1,51,1030,16,101.9,240,266,60.8,4,54,757,Jeffrey Schlupp,1035,2.184974889,0.948796737,18,7,2,2.184974889,3.242849723,1.128528431
Jeremy Ngakia,0,0,8,440,8,10.7,78,9,9.8,0,40,8235,Jeremy Ngakia,442,0.014036505,0,1,0,0,0.014036505,0.89196482,0.877928314
Jesse Lingard,1,0,32,923,14,278.2,109,297,68.2,1,63,558,Jesse Lingard,919,2.327569552,1.110420321,22,20,3,2.327569552,7.162810549,3.927907876
Jetro Willems,2,2,64,1492,24,196,345.4,198,74.1,3,43,6143,Jetro Willems,1501,0.485310218,1.082735077,14,16,0,0.485310218,3.265106991,1.965357644
Joel Matip,1,0,39,703,5,23,198.2,39,26.2,3,52,332,Joel Matip,706,0.301780706,0.015664158,4,1,0,0.301780706,1.555288021,1.539623862
Joel Ward,0,1,77,2380,36,117,427,49,59.5,7,43,510,Joel Ward,2383,0.198826101,0.250573736,5,5,4,0.198826101,2.54627021,2.205837969
Joelinton C�ssio Apolin�rio de Lira,2,2,78,2678,46,433.4,330.8,641,140.5,9,55,87,Joelinton,2722,6.031041045,3.101166109,50,29,7,6.031041045,12.04208388,4.82217684
Johann Berg Gudmundsson,1,1,30,617,7,215.4,118.6,108,44.1,3,59,1663,Johann Berg Gudmundsson,629,0.723538265,0.918074243,10,14,0,0.723538265,1.565794177,1.005730655
John Egan,2,1,133,3187,33,25.4,641.4,587,125.4,13,47,7703,John Egan,3193,2.6867084,0.451592505,27,1,3,2.6867084,3.889271326,3.759345159
John Fleck,5,2,101,2515,30,648.8,527.4,419,159.6,8,47,7709,John Fleck,2513,3.248101874,3.42932895,31,39,8,3.248101874,10.27454457,5.323464704
John Lundstram,5,4,144,2452,29,382.9,502.8,449,133.9,10,46,7708,John Lundstram,2448,5.921482933,3.829640366,44,21,5,5.921482933,12.00811403,5.026100654
John McGinn,3,3,84,2312,41,503.3,458.6,499,145.9,6,52,7723,John McGinn,2323,3.982573007,2.617759112,55,37,3,3.982573007,9.970860671,5.289585173
John Stones,0,0,34,1118,16,53,216.4,66,33.7,3,53,586,John Stones,1114,0.547632621,0.060629928,6,2,0,0.547632621,6.485637009,6.466724321
Jo�o Filipe Iria Santos Moutinho,1,7,113,3105,36,1200.1,712,122,204,11,53,3422,João Moutinho,3100,0.687767527,6.775043549,22,76,7,0.687767527,11.93269111,10.85865741
Jo�o Pedro Cavaco Cancelo,0,0,45,1205,11,287.6,265,141,69.3,5,51,2379,João Cancelo,1198,0.560565183,2.999575402,15,17,4,0.560565183,14.22669828,11.60989326
Jonny,2,3,123,2885,35,379.2,543.6,299,122.4,11,55,2280,Jonny,2907,1.614042718,1.566812024,19,23,4,1.614042718,10.03451308,7.451252225
